,Category,Description,Quantity,Type (Consumable / Return),Vendor,Vendor Part #,Vendor/Datasheet Link
Received,Battery,Lithium Ion Polymer Battery - 3.7v 2200mAh,20,Consumable,Adafruit,258,https://www.adafruit.com/products/1781
Received,Battery,CR2032 Lithium Coin Cell Battery,50,Consumable,Adafruit,654,https://www.adafruit.com/products/654
Received,Battery,Procell 9V Alkaline Battery Bulk Pack - 72 Per Package,1,Consumable,Amazon,B0045NGW14,https://www.amazon.com/Procell-Alkaline-Battery-Bulk-Pack/dp/B0045NGW14
Received,Battery,AmazonBasics AAA Performance Alkaline Batteries (36-Pack),3,Consumable,Amazon,B00LH3DMUO,https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-36-Pack/dp/B00LH3DMUO?th=1
Received,Connector,Breadboard-Friendly 3.5mm Stereo Headphone Jack,25,Consumable,Adafruit,1699,https://www.adafruit.com/product/1699
Received,Connector,2 x 2032 Coin Cell Battery Holder - 6V ,25,Consumable,Adafruit,783,https://www.adafruit.com/product/783
Received,Connector,Small Alligator Clip Test Lead (set of 12),8,Consumable,Adafruit,1008,https://www.adafruit.com/product/1008
Received,Connector,"22 GA RED HOOK UP WIRE, SOLID 100'",5,Consumable,All Electronics,22RD-100S,http://www.allelectronics.com/item/22rd-100s/22-ga-red-hook-up-wire-solid-100/1.html
Received,Connector,"22 GA BLACK HOOK UP WIRE, SOLID 100'",5,Consumable,All Electronics,22BK-100S,http://www.allelectronics.com/item/22bk-100s/22-ga-black-hook-up-wire-solid-100/1.html
Received,Connector,"22 GA GREEN HOOK UP WIRE, SOLID 100'",3,Consumable,All Electronics,22GN-100S,http://www.allelectronics.com/item/22gn-100s/22-ga-green-hook-up-wire-solid-100/1.html
Ordered,Connector,2x 40pcs Female to Female 2.54mm 0.1 in Jumper Wires F/F (2x40pcs),10,Consumable,Amazon,B00GSE2S98,https://www.amazon.com/40pcs-Female-2-54mm-Jumper-2x40pcs/dp/B01HJQ49MW/ref=sr_1_1?ie=UTF8&qid=1473210590&sr=8-1&keywords=dupont+female+to+female
Received,Connector,JST 2mm PH - Angled Header,100,Consumable,Digi-Key,455-1719-ND,http://www.digikey.com/product-detail/en/S2B-PH-K-S(LF)(SN)/455-1719-ND/926626
Received,Connector,"STRAP BATT ECON 9V I STYLE 6""LD",50,Consumable,Digi-Key,36-233-ND,http://www.digikey.com/product-detail/en/keystone-electronics/233/36-233-ND/68726
Received,Connector,HOLDER BATT 4-AAA CELLS WIRE LDS,25,Consumable,Digi-Key,BH24AAAW-ND,http://www.digikey.com/product-detail/en/mpd-memory-protection-devices/BH24AAAW/BH24AAAW-ND/38633
Received,Connector,6ft USB 2.0 A Male to Micro 5pin Male 28/28AWG Cable,45,Consumable,Monoprice,4867,https://www.monoprice.com/product?p_id=4868
Received,Connector,6ft USB 2.0 A Male to B Male 28/24AWG Cable - (Gold Plated),15,Consumable,Monoprice,5438,http://www.monoprice.com/product?p_id=5438
Received,Connector,Sensor Cable - Electrode Pads (3 connector),5,Consumable,SparkFun,CAB-12970 ,https://www.sparkfun.com/products/12970
Received,Connector,Biomedical Sensor Pad (10 pack),5,Consumable,SparkFun,SEN-12969,https://www.sparkfun.com/products/12969
Received,Discrete,N-Channel NexFET™ Power MOSFET,20,Consumable,TI,CSD1854KCS,http://www.ti.com/lit/ds/symlink/csd18542kcs.pdf
Received,Discrete,μA78xx Fixed Positive Voltage Regulators,40,Consumable,TI,UA7805CKCS,http://www.ti.com/lit/ds/symlink/ua78.pdf
Received,Discrete,800-mA Low-Dropout Linear Regulator,40,Consumable,TI,LM1117,http://www.ti.com/lit/ds/symlink/lm1117.pdf
Received,Discrete,500-mA Low Dropout Regulator,80,Consumable,TI,LM2937,http://www.ti.com/lit/ds/symlink/lm2937.pdf
Received,Discrete Semi,DIODE GEN PURP 100V 200MA DO35,100,Consumable,Digi-Key,1N4148FS-ND,http://www.digikey.com/product-detail/en/1N4148/1N4148FS-ND/458603?WT.z_cid=ref_octopart_dkc_buynow&site=us
Received,Discrete Semi,TRANS PNP 40V 0.6A TO-92,100,Consumable,Digi-Key,2N4403D26ZCT-ND,http://www.digikey.com/product-detail/en/fairchild-semiconductor/2N4403TFR/2N4403D26ZCT-ND/458925
